Date,Energy_Generated,Efficiency,Energy_Exported,Energy_Used,Peak_Power,Peak_Time,Condition,Min_Temperature,Max_Temperature,Peak_Energy_Import,Off-Peak_Energy_Import,Shoulder_Energy_Import,High-Shoulder_Energy_Import,Insolation
20190531,5477,5.071,4913,0,730,13:55,Fine,8,33,NaN,NaN,NaN,NaN,6403
20190601,5364,4.967,4783,0,714,13:50,Fine,10,35,NaN,NaN,NaN,NaN,6402
20190602,5383,4.984,4946,0,709,13:35,Fine,11,39,NaN,NaN,NaN,NaN,6402
20190603,4281,3.964,4132,0,829,14:50,Fine,11,32,NaN,NaN,NaN,NaN,6401
20190604,4709,4.360,4597,0,726,14:00,Fine,11,34,NaN,NaN,NaN,NaN,6401
20190605,1269,1.175,1072,0,475,14:55,Cloudy,9,16,NaN,NaN,NaN,NaN,6400
20190606,5089,4.712,4604,0,873,13:25,Fine,6,27,NaN,NaN,NaN,NaN,6400
20190607,3393,3.142,2871,0,987,13:20,Partly Cloudy,13,26,NaN,NaN,NaN,NaN,6399
20190608,5267,4.877,5060,0,848,11:55,Fine,8,26,NaN,NaN,NaN,NaN,6399
20190609,3055,2.829,2750,0,986,14:00,Partly Cloudy,9,29,NaN,NaN,NaN,NaN,6398
20190610,1146,1.061,836,0,356,14:00,Cloudy,10,15,NaN,NaN,NaN,NaN,6398
20190611,3555,3.292,3405,0,948,15:30,Partly Cloudy,9,20,NaN,NaN,NaN,NaN,6397
20190612,4559,4.221,3945,0,911,13:20,Fine,3,25,NaN,NaN,NaN,NaN,6397
20190613,5190,4.806,4751,0,784,12:50,Fine,5,32,NaN,NaN,NaN,NaN,6396
20190614,1678,1.554,1557,0,647,17:20,Cloudy,12,22,NaN,NaN,NaN,NaN,6396
20190615,1623,1.503,1205,0,864,15:55,Cloudy,11,21,NaN,NaN,NaN,NaN,6395
20190616,5455,5.051,4889,0,731,13:35,Fine,6,31,NaN,NaN,NaN,NaN,6395
20190617,5363,4.966,5149,0,710,13:30,Fine,9,37,NaN,NaN,NaN,NaN,6394
20190618,4887,4.525,4811,0,889,13:30,Fine,14,39,NaN,NaN,NaN,NaN,6394
20190619,3978,3.683,3532,0,719,13:00,Fine,12,32,NaN,NaN,NaN,NaN,6394
20190620,832,0.770,553,0,162,10:40,Showers,14,19,NaN,NaN,NaN,NaN,6394
20190621,1167,1.081,773,0,517,15:40,Cloudy,13,18,NaN,NaN,NaN,NaN,6393
20190622,5360,4.963,4757,0,836,14:35,Fine,11,30,NaN,NaN,NaN,NaN,6393
20190623,4646,4.302,4304,0,784,13:05,Fine,12,36,NaN,NaN,NaN,NaN,6393
20190624,2512,2.326,2409,0,905,15:00,Mostly Cloudy,18,31,NaN,NaN,NaN,NaN,6393
20190625,4200,3.889,4072,0,877,13:25,Fine,17,35,NaN,NaN,NaN,NaN,6393
20190626,5107,4.729,4093,0,676,13:35,Fine,16,39,NaN,NaN,NaN,NaN,6393
20190627,5114,4.735,4537,0,679,13:50,Fine,16,41,NaN,NaN,NaN,NaN,6393
20190628,5174,4.791,4631,0,692,13:50,Fine,17,35,NaN,NaN,NaN,NaN,6393
20190629,5056,4.681,4617,0,671,13:30,Fine,15,41,NaN,NaN,NaN,NaN,6393
